logainm_id,permalink,irish,english,form_state,category_id,category,direct_counties,inferred_counties,parents,latitude,longitude,coordinate_usable,disposition
1437683,https://www.logainm.ie/1437683.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437685,https://www.logainm.ie/1437685.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437687,https://www.logainm.ie/1437687.aspx,Faiche an Bhoirnéalaigh,Burnell Green,bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437698,https://www.logainm.ie/1437698.aspx,Cúirt Carnegie,Carnegie Court,bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437700,https://www.logainm.ie/1437700.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437704,https://www.logainm.ie/1437704.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437705,https://www.logainm.ie/1437705.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437706,https://www.logainm.ie/1437706.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437709,https://www.logainm.ie/1437709.aspx,,Sample Street,english_only,SR,street,,,,0,0,False,manual_or_spatial_review
1437710,https://www.logainm.ie/1437710.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437719,https://www.logainm.ie/1437719.aspx,Tobar Muire,Lady's Well,bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437846,https://www.logainm.ie/1437846.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437860,https://www.logainm.ie/1437860.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437876,https://www.logainm.ie/1437876.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437877,https://www.logainm.ie/1437877.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437884,https://www.logainm.ie/1437884.aspx,Sráid Stanley,Stanley Street,bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437886,https://www.logainm.ie/1437886.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437888,https://www.logainm.ie/1437888.aspx,Gairdíní Theach Ráth Bhagóid,Baggotrath House Gardens,bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437889,https://www.logainm.ie/1437889.aspx,Gort an Gharráin,Grove Field,bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437890,https://www.logainm.ie/1437890.aspx,"Halla Warrington, Cúirt an Phaoraigh","Warrington Hall, Powers Court",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437891,https://www.logainm.ie/1437891.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437892,https://www.logainm.ie/1437892.aspx,"Cúirt an Choimeádaí, Plaza Loc an Choimeádaí, Loc an Choimeádaí","Keepers Court, Keepers Lock Plaza, Keepers Lock",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437893,https://www.logainm.ie/1437893.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437894,https://www.logainm.ie/1437894.aspx,Loc an Choimeádaí,Keepers Lock,bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437895,https://www.logainm.ie/1437895.aspx,"Plaza Loc an Choimeádaí, Loc an Choimeádaí","Keepers Lock Plaza, Keepers Lock",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437896,https://www.logainm.ie/1437896.aspx,"Ascaill Loc an Choimeádaí, Loc an Choimeádaí","Keepers Lock Avenue, Keepers Lock",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437898,https://www.logainm.ie/1437898.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437909,https://www.logainm.ie/1437909.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437910,https://www.logainm.ie/1437910.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437924,https://www.logainm.ie/1437924.aspx,"Lána Loc an Choimeádaí, Loc an Choimeádaí","Keepers Lock Lane, Keepers Lock",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437925,https://www.logainm.ie/1437925.aspx,"Bealach Loc an Choimeádaí, Loc an Choimeádaí","Keepers Lock Way, Keepers Lock",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437926,https://www.logainm.ie/1437926.aspx,"Geata Loc an Choimeádaí, Loc an Choimeádaí","Keepers Lock Gate, Keepers Lock",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437932,https://www.logainm.ie/1437932.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437936,https://www.logainm.ie/1437936.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437938,https://www.logainm.ie/1437938.aspx,"Bealach Bhán na Páirce, Na Seacht Muileann","Parkleigh Way, Seven Mills",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437939,https://www.logainm.ie/1437939.aspx,"Leamháin Chluain na Páirce, Na Seacht Muileann","Parkleigh Elms, Seven Mills",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437940,https://www.logainm.ie/1437940.aspx,"Mulláin Bhán na Páirce, Na Seacht Muileann","Parkleigh Downs, Seven Mills",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437941,https://www.logainm.ie/1437941.aspx,"Coill Bhán na Páirce, Na Seacht Muileann","Parkleigh Wood, Seven Mills",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437942,https://www.logainm.ie/1437942.aspx,"Rosán Bhán na Páirce, Na Seacht Muileann","Parkleigh Copse, Seven Mills",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437943,https://www.logainm.ie/1437943.aspx,"Radharc Bhán na Páirce, Na Seacht Muileann","Parkleigh View, Seven Mills",bilingual,SR,street,,,,0,0,False,manual_or_spatial_review
1437945,https://www.logainm.ie/1437945.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437946,https://www.logainm.ie/1437946.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1437993,https://www.logainm.ie/1437993.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1438001,https://www.logainm.ie/1438001.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1438005,https://www.logainm.ie/1438005.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1438007,https://www.logainm.ie/1438007.aspx,Gleann Ó Máil,Glen Imail,bilingual,?,unknown,,,,0,0,False,manual_or_spatial_review
1438008,https://www.logainm.ie/1438008.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
1438046,https://www.logainm.ie/1438046.aspx,,,no_usable_form,?,unknown,,,,0,0,False,exclude_no_usable_form
