logainm_id,permalink,irish,english,form_state,category_id,category,direct_counties,inferred_counties,parents,latitude,longitude,coordinate_usable,disposition
1166776,https://www.logainm.ie/1166776.aspx,Na Staighrí Dubha,Blackstairs Mountains,bilingual,SL,mountain or mountain range,Carlow | Wexford,Carlow | Wexford,CON:Carlow | CON:Wexford,52.550384516505304,-6.805744574052951,True,plausible_cross_boundary_feature
1166781,https://www.logainm.ie/1166781.aspx,Stua Laighean,Mount Leinster,bilingual,SL,mountain or mountain range,Carlow | Wexford,Carlow | Wexford,CON:Carlow | CON:Wexford,52.621965082151895,-6.77426000117366,True,plausible_cross_boundary_feature
1166783,https://www.logainm.ie/1166783.aspx,An tSuca,River Suck,bilingual,ABH,river,Galway | Mayo | Roscommon,Galway | Mayo | Roscommon,CON:Galway | CON:Mayo | CON:Roscommon,53.52195312675898,-8.346810689576694,True,plausible_cross_boundary_feature
1166802,https://www.logainm.ie/1166802.aspx,An Tarae,Slate River,bilingual,ABH,river,Kildare | Offaly,Kildare | Offaly,CON:Kildare | CON:Offaly,53.1997286672191,-7.057163211077341,True,plausible_cross_boundary_feature
1166871,https://www.logainm.ie/1166871.aspx,Uiscebhealach na Sionainne-na hÉirne,Shannon-Erne Waterway,bilingual,CAN,canal,Cavan | Fermanagh | Leitrim,Cavan | Fermanagh | Leitrim,CON:Cavan | CON:Fermanagh | CON:Leitrim,54.06584834983477,-7.763237461741752,True,plausible_cross_boundary_feature
1167098,https://www.logainm.ie/1167098.aspx,Bealach Ghleann na Suca,,irish_only,COS,footpath,Galway | Mayo | Roscommon,Galway | Mayo | Roscommon,CON:Galway | CON:Mayo | CON:Roscommon,0,0,False,plausible_cross_boundary_feature
1167108,https://www.logainm.ie/1167108.aspx,Baile Átha an Urchair,Horseleap,bilingual,ID,population centre,Offaly | Westmeath,Offaly | Westmeath,CON:Westmeath | CON:Offaly | BAR:Kilcoursey | BAR:Moycashel | PAR:Ardnurcher or Horseleap | PAR:Ardnurcher or Horseleap,53.4004644603726,-7.594032085710879,True,administrative_boundary_review
1375120,https://www.logainm.ie/1375120.aspx,Cnoc Rátha,Knockrath,bilingual,TR,electoral division,Cork | Wicklow,Cork | Wicklow,CON:Wicklow | CON:Cork | CTH:Cork | CBA:Arklow,52.96044467271934,-6.388126147801033,True,administrative_boundary_review
1375397,https://www.logainm.ie/1375397.aspx,Lochán Dúnáin,Loughaundoonan,bilingual,L,lake or lakes,Galway | Mayo,Galway | Mayo,CON:Galway | BAR:Ballynahinch | PAR:Moyrus | BF:Lissoughter | CON:Mayo,53.46301094820367,-9.715250537266629,True,plausible_cross_boundary_feature
1400284,https://www.logainm.ie/1400284.aspx,Teach Scair na Carraige,Rockshire House,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2696601054893,-7.10825548124661,True,waterford_city_hierarchy_review
1400463,https://www.logainm.ie/1400463.aspx,Geata an Uisce,Water Gate,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2695677855183,-7.13696044544048,True,waterford_city_hierarchy_review
1400612,https://www.logainm.ie/1400612.aspx,Bóthar na Rátha Nua,Newrath Road,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2729996393737,-7.13057833083585,True,waterford_city_hierarchy_review
1400613,https://www.logainm.ie/1400613.aspx,An Choill Gheal,Silverwood,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2701342285528,-7.1079529248083695,True,waterford_city_hierarchy_review
1400617,https://www.logainm.ie/1400617.aspx,Daracha an Chaisleáin,Castle Oaks,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2677243866542,-7.10546661540455,True,waterford_city_hierarchy_review
1400618,https://www.logainm.ie/1400618.aspx,Bóthar Chnoc Shióin,Mount Sion Road,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.27036407999799,-7.109823791997538,True,waterford_city_hierarchy_review
1400646,https://www.logainm.ie/1400646.aspx,Na Daracha Glasa,Green Oaks,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.27018527755101,-7.104010474357671,True,waterford_city_hierarchy_review
1400816,https://www.logainm.ie/1400816.aspx,Arda Bhaile na Gráige,Belmont Heights,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.27019510692661,-7.09939484963418,True,waterford_city_hierarchy_review
1400819,https://www.logainm.ie/1400819.aspx,Ard Glas,Árd Glas,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.26329025685751,-7.09568183826292,True,waterford_city_hierarchy_review
1400831,https://www.logainm.ie/1400831.aspx,Clós na Mainistreach,Abbey Close,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2623282606603,-7.082839089423131,True,waterford_city_hierarchy_review
1400832,https://www.logainm.ie/1400832.aspx,Garrán na Mainistreach,Abbey Grove,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2623018672714,-7.0829128818159095,True,waterford_city_hierarchy_review
1400833,https://www.logainm.ie/1400833.aspx,Céide na Mainistreach,Abbey Drive,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.26192974063229,-7.083609082882959,True,waterford_city_hierarchy_review
1400834,https://www.logainm.ie/1400834.aspx,Páirc na Mainistreach,Abbey Park,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.260009451597504,-7.079415161552871,True,waterford_city_hierarchy_review
1400835,https://www.logainm.ie/1400835.aspx,Plásog na Mainistreach,Abbey Lawn,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2622544172591,-7.08143425624022,True,waterford_city_hierarchy_review
1400901,https://www.logainm.ie/1400901.aspx,Clós na Silíní,Cherry Close,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2683245828418,-7.094583097419711,True,waterford_city_hierarchy_review
1400902,https://www.logainm.ie/1400902.aspx,Clós an Leamháin,Elm Close,bilingual,SR,street,Kilkenny | Waterford,Kilkenny | Waterford,CON:Kilkenny | CON:Waterford | CTH:Waterford | CTH:Kilkenny,52.2685309514579,-7.093362809681981,True,waterford_city_hierarchy_review
